#: table_doi: 10.17182/hepdata.104923.v1/t9
#: name: Table 9
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_9.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X | PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: RATIO
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: CENTRALITY [pct],,,0.0-5.0
#: RE(P + PBAR),,,PB PB --> P X, PB PB --> PBAR X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.32499999999999996,0.3,0.35,0.0085127,0.00013148,-0.00013148,0.0008382,-0.0008382,0.000287,-0.000287
0.375,0.35,0.4,0.010352,0.00012859,-0.00012859,0.00093616,-0.00093616,0.00034298,-0.00034298
0.42500000000000004,0.4,0.45,0.013281,0.00014203,-0.00014203,0.0010862,-0.0010862,0.00044044,-0.00044044
0.475,0.45,0.5,0.014384,2.728e-05,-2.728e-05,0.0017172,-0.0017172,0.0017172,-0.0017172
0.525,0.5,0.55,0.017675,3.2429e-05,-3.2429e-05,0.0018797,-0.0018797,0.0018797,-0.0018797
0.575,0.55,0.6,0.021483,3.896e-05,-3.896e-05,0.0025281,-0.0025281,0.0025281,-0.0025281
0.625,0.6,0.65,0.025456,4.6828e-05,-4.6828e-05,0.0045065,-0.0045065,0.0045065,-0.0045065
0.675,0.65,0.7,0.030232,5.7762e-05,-5.7762e-05,0.00849,-0.00849,0.00849,-0.00849
0.725,0.7,0.75,0.034994,7.8095e-05,-7.8095e-05,0.0047268,-0.0047268,0.0013542,-0.0013542
0.775,0.75,0.8,0.041402,9.8619e-05,-9.8619e-05,0.0073492,-0.0073492,0.0018824,-0.0018824
0.825,0.8,0.85,0.042612,0.00019946,-0.00019946,0.0018822,-0.0018822,0.0018822,-0.0018822
0.875,0.85,0.9,0.049813,0.00023423,-0.00023423,0.0010334,-0.0010334,0.00035619,-0.00035619
0.925,0.9,0.95,0.058133,0.00028218,-0.00028218,0.00078403,-0.00078403,0.0005611,-0.0005611
0.975,0.95,1.0,0.065668,0.00032777,-0.00032777,0.0011962,-0.0011962,0.00081279,-0.00081279
1.05,1.0,1.1,0.078024,0.00028512,-0.00028512,0.0016845,-0.0016845,0.0010595,-0.0010595
1.15,1.1,1.2,0.10337,0.00040139,-0.00040139,0.0030861,-0.0030861,0.0014484,-0.0014484
1.25,1.2,1.3,0.12593,0.0010715,-0.0010715,0.0089925,-0.0089925,0.0018775,-0.0018775
1.35,1.3,1.4,0.15625,0.00070313,-0.00070313,0.016817,-0.016817,0.002501,-0.002501
1.45,1.4,1.5,0.1866,0.00089176,-0.00089176,0.0031011,-0.0031011,0.0032906,-0.0032906
1.55,1.5,1.6,0.21991,0.0010891,-0.0010891,0.0051844,-0.0051844,0.0038803,-0.0038803
1.65,1.6,1.7,0.26233,0.0013704,-0.0013704,0.0059315,-0.0059315,0.0048696,-0.0048696
1.75,1.7,1.8,0.30027,0.001654,-0.001654,0.0070279,-0.0070279,0.0056151,-0.0056151
1.85,1.8,1.9,0.34596,0.0019968,-0.0019968,0.0083866,-0.0083866,0.0064492,-0.0064492
1.95,1.9,2.0,0.38102,0.0022919,-0.0022919,0.010794,-0.010794,0.0065438,-0.0065438
2.1,2.0,2.2,0.44788,0.0020835,-0.0020835,0.01482,-0.01482,0.0059922,-0.0059922
2.3,2.2,2.4,0.53143,0.0027054,-0.0027054,0.022277,-0.022277,0.0055237,-0.0055237
2.5,2.4,2.6,0.59443,0.0032807,-0.0032807,0.031813,-0.031813,0.0068207,-0.0068207
2.7,2.6,2.8,0.67947,0.0042949,-0.0042949,0.040414,-0.040414,0.0084849,-0.0084849
2.9,2.8,3.0,0.76454,0.0055484,-0.0055484,0.046196,-0.046196,0.0073613,-0.0073613
3.1,3.0,3.2,0.77976,0.0062207,-0.0062207,0.042845,-0.042845,0.0053933,-0.0053933
3.3,3.2,3.4,0.80324,0.0069948,-0.0069948,0.044613,-0.044613,0.0035562,-0.0035562
3.5,3.4,3.6,0.84208,0.0074454,-0.0074454,0.048556,-0.048556,0.0034629,-0.0034629
3.7,3.6,3.8,0.8189,0.0074926,-0.0074926,0.044379,-0.044379,0.0031012,-0.0031012
3.9,3.8,4.0,0.80479,0.0077346,-0.0077346,0.042599,-0.042599,0.002925,-0.002925
4.25,4.0,4.5,0.76497,0.0049646,-0.0049646,0.041071,-0.041071,0.0042992,-0.0042992
4.75,4.5,5.0,0.64791,0.0052734,-0.0052734,0.033208,-0.033208,0.003236,-0.003236
5.25,5.0,5.5,0.52654,0.0053176,-0.0053176,0.025481,-0.025481,0.0018433,-0.0018433
5.75,5.5,6.0,0.41754,0.0052003,-0.0052003,0.022309,-0.022309,0.0017821,-0.0017821
6.25,6.0,6.5,0.32977,0.0026998,-0.0026998,0.034144,-0.034144,0.0015717,-0.0015717
6.75,6.5,7.0,0.26861,0.0027523,-0.0027523,0.02781,-0.02781,0.0015365,-0.0015365
7.5,7.0,8.0,0.21131,0.0024415,-0.0024415,0.021877,-0.021877,0.001391,-0.001391
8.5,8.0,9.0,0.16244,0.0027499,-0.0027499,0.016817,-0.016817,0.001378,-0.001378
9.5,9.0,10.0,0.13226,0.0031565,-0.0031565,0.013692,-0.013692,0.001103,-0.001103
10.5,10.0,11.0,0.11609,0.003645,-0.003645,0.012018,-0.012018,0.001323,-0.001323
11.5,11.0,12.0,0.10362,0.0042136,-0.0042136,0.010727,-0.010727,0.0015105,-0.0015105
12.5,12.0,13.0,0.10709,0.0050767,-0.0050767,0.011087,-0.011087,0.0011765,-0.0011765
13.5,13.0,14.0,0.095896,0.0057752,-0.0057752,0.0099277,-0.0099277,0.0011568,-0.0011568
14.5,14.0,15.0,0.090431,0.0061947,-0.0061947,0.009362,-0.009362,0.0014383,-0.0014383
15.5,15.0,16.0,0.083471,0.0066554,-0.0066554,0.0086414,-0.0086414,0.0017345,-0.0017345
17.0,16.0,18.0,0.082753,0.0072651,-0.0072651,0.0085671,-0.0085671,0.0020587,-0.0020587
19.0,18.0,20.0,0.079584,0.0093427,-0.0093427,0.008239,-0.008239,0.0011554,-0.0011554

#: CENTRALITY [pct],,,5.0-10.0
#: RE(P + PBAR),,,PB PB --> P X, PB PB --> PBAR X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.32499999999999996,0.3,0.35,0.008286,0.00018529,-0.00018529,0.00082348,-0.00082348,0.00026417,-0.00026417
0.375,0.35,0.4,0.010972,0.00019851,-0.00019851,0.0010022,-0.0010022,0.00034738,-0.00034738
0.42500000000000004,0.4,0.45,0.013547,0.000203,-0.000203,0.0011183,-0.0011183,0.00043036,-0.00043036
0.475,0.45,0.5,0.015498,4.5388e-05,-4.5388e-05,0.00073954,-0.00073954,0.00073954,-0.00073954
0.525,0.5,0.55,0.018767,5.3298e-05,-5.3298e-05,0.0011031,-0.0011031,0.0011031,-0.0011031
0.575,0.55,0.6,0.0223,6.2726e-05,-6.2726e-05,0.0016999,-0.0016999,0.0016999,-0.0016999
0.625,0.6,0.65,0.026136,7.4198e-05,-7.4198e-05,0.0034389,-0.0034389,0.0034389,-0.0034389
0.675,0.65,0.7,0.031441,9.2172e-05,-9.2172e-05,0.0083643,-0.0083643,0.0083643,-0.0083643
0.725,0.7,0.75,0.035789,0.00011689,-0.00011689,0.0044441,-0.0044441,0.00089653,-0.00089653
0.775,0.75,0.8,0.042085,0.00015238,-0.00015238,0.007296,-0.007296,0.001332,-0.001332
0.825,0.8,0.85,0.0437,0.00026095,-0.00026095,0.0019303,-0.0019303,0.0019303,-0.0019303
0.875,0.85,0.9,0.052363,0.00032097,-0.00032097,0.0010863,-0.0010863,0.00014465,-0.00014465
0.925,0.9,0.95,0.060086,0.00037978,-0.00037978,0.00081036,-0.00081036,0.00011662,-0.00011662
0.975,0.95,1.0,0.068957,0.00045501,-0.00045501,0.0012561,-0.0012561,9.8315e-05,-9.8315e-05
1.05,1.0,1.1,0.081046,0.00039606,-0.00039606,0.0017498,-0.0017498,0.00014297,-0.00014297
1.15,1.1,1.2,0.10731,0.00056819,-0.00056819,0.0032036,-0.0032036,0.00027848,-0.00027848
1.25,1.2,1.3,0.12807,0.0012821,-0.0012821,0.0091454,-0.0091454,0.00041877,-0.00041877
1.35,1.3,1.4,0.15828,0.00098432,-0.00098432,0.017035,-0.017035,0.00056397,-0.00056397
1.45,1.4,1.5,0.18918,0.0012667,-0.0012667,0.0031439,-0.0031439,0.00067732,-0.00067732
1.55,1.5,1.6,0.22443,0.0015495,-0.0015495,0.0052757,-0.0052757,0.00073549,-0.00073549
1.65,1.6,1.7,0.26167,0.0019066,-0.0019066,0.0058988,-0.0058988,0.00074451,-0.00074451
1.75,1.7,1.8,0.30204,0.0023014,-0.0023014,0.0070441,-0.0070441,0.00081075,-0.00081075
1.85,1.8,1.9,0.33715,0.0027057,-0.0027057,0.0081384,-0.0081384,0.001005,-0.001005
1.95,1.9,2.0,0.37972,0.0031681,-0.0031681,0.010691,-0.010691,0.0012864,-0.0012864
2.1,2.0,2.2,0.43022,0.0027339,-0.0027339,0.014144,-0.014144,0.0016132,-0.0016132
2.3,2.2,2.4,0.51133,0.0034643,-0.0034643,0.021031,-0.021031,0.0023204,-0.0023204
2.5,2.4,2.6,0.57421,0.003962,-0.003962,0.029769,-0.029769,0.0031689,-0.0031689
2.7,2.6,2.8,0.62102,0.0047016,-0.0047016,0.035241,-0.035241,0.0037752,-0.0037752
2.9,2.8,3.0,0.65716,0.0055051,-0.0055051,0.037662,-0.037662,0.0015081,-0.0015081
3.1,3.0,3.2,0.69245,0.0067527,-0.0067527,0.03731,-0.03731,0.0031323,-0.0031323
3.3,3.2,3.4,0.74091,0.0082305,-0.0082305,0.042435,-0.042435,0.0034774,-0.0034774
3.5,3.4,3.6,0.7764,0.0088014,-0.0088014,0.047379,-0.047379,0.0035417,-0.0035417
3.7,3.6,3.8,0.76199,0.0095181,-0.0095181,0.044999,-0.044999,0,0
3.9,3.8,4.0,0.74632,0.010347,-0.010347,0.041614,-0.041614,0,0
4.25,4.0,4.5,0.71756,0.0071968,-0.0071968,0.039905,-0.039905,0.0049512,-0.0049512
4.75,4.5,5.0,0.59957,0.0074752,-0.0074752,0.033261,-0.033261,0.0023359,-0.0023359
5.25,5.0,5.5,0.48032,0.0073339,-0.0073339,0.024975,-0.024975,0.0012598,-0.0012598
5.75,5.5,6.0,0.38558,0.0072089,-0.0072089,0.021751,-0.021751,0.00049267,-0.00049267
6.25,6.0,6.5,0.30525,0.0030659,-0.0030659,0.031821,-0.031821,0.00024706,-0.00024706
6.75,6.5,7.0,0.24603,0.0029936,-0.0029936,0.025647,-0.025647,0.00024706,-0.00024706
7.5,7.0,8.0,0.19226,0.0026096,-0.0026096,0.020041,-0.020041,0.00024706,-0.00024706
8.5,8.0,9.0,0.14671,0.002837,-0.002837,0.015294,-0.015294,0.00024706,-0.00024706
9.5,9.0,10.0,0.11441,0.003162,-0.003162,0.011926,-0.011926,0.00024706,-0.00024706
10.5,10.0,11.0,0.094213,0.0036094,-0.0036094,0.0098208,-0.0098208,0.00024706,-0.00024706
11.5,11.0,12.0,0.09029,0.0042797,-0.0042797,0.0094119,-0.0094119,0.00024706,-0.00024706
12.5,12.0,13.0,0.085425,0.0049629,-0.0049629,0.0089048,-0.0089048,0.00024706,-0.00024706
13.5,13.0,14.0,0.075148,0.0056159,-0.0056159,0.0078334,-0.0078334,0.00024706,-0.00024706
14.5,14.0,15.0,0.083764,0.0065018,-0.0065018,0.0087316,-0.0087316,0.00024706,-0.00024706
15.5,15.0,16.0,0.075958,0.0069882,-0.0069882,0.0079179,-0.0079179,0.00024706,-0.00024706
17.0,16.0,18.0,0.074895,0.0073931,-0.0073931,0.0078071,-0.0078071,0.00024706,-0.00024706
19.0,18.0,20.0,0.057587,0.009195,-0.009195,0.0060029,-0.0060029,0.00024706,-0.00024706

#: CENTRALITY [pct],,,10.0-20.0
#: RE(P + PBAR),,,PB PB --> P X, PB PB --> PBAR X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.32499999999999996,0.3,0.35,0.0092651,0.00016198,-0.00016198,0.0009023,-0.0009023,0.00029937,-0.00029937
0.375,0.35,0.4,0.011371,0.00016385,-0.00016385,0.0010115,-0.0010115,0.00036127,-0.00036127
0.42500000000000004,0.4,0.45,0.01457,0.00017928,-0.00017928,0.0011655,-0.0011655,0.00046356,-0.00046356
0.475,0.45,0.5,0.01609,3.8742e-05,-3.8742e-05,0.00073517,-0.00073517,0.00073517,-0.00073517
0.525,0.5,0.55,0.019681,4.5846e-05,-4.5846e-05,0.0009074,-0.0009074,0.0009074,-0.0009074
0.575,0.55,0.6,0.023534,5.414e-05,-5.414e-05,0.0011968,-0.0011968,0.0011968,-0.0011968
0.625,0.6,0.65,0.02763,6.4425e-05,-6.4425e-05,0.0029167,-0.0029167,0.0029167,-0.0029167
0.675,0.65,0.7,0.033081,7.9501e-05,-7.9501e-05,0.0083568,-0.0083568,0.0083568,-0.0083568
0.725,0.7,0.75,0.037777,0.00010109,-0.00010109,0.004183,-0.004183,0.00076967,-0.00076967
0.775,0.75,0.8,0.043369,0.00021715,-0.00021715,0.0076845,-0.0076845,0.00091692,-0.00091692
0.825,0.8,0.85,0.046605,0.00022149,-0.00022149,0.0020586,-0.0020586,0.0020586,-0.0020586
0.875,0.85,0.9,0.055053,0.0002674,-0.0002674,0.0011421,-0.0011421,0.00011976,-0.00011976
0.925,0.9,0.95,0.06397,0.00032482,-0.00032482,0.00086276,-0.00086276,0.00016216,-0.00016216
0.975,0.95,1.0,0.072749,0.00038328,-0.00038328,0.0013252,-0.0013252,0.00020064,-0.00020064
1.05,1.0,1.1,0.085146,0.00033487,-0.00033487,0.0018383,-0.0018383,0.00024224,-0.00024224
1.15,1.1,1.2,0.11297,0.00048313,-0.00048313,0.0033726,-0.0033726,0.0002918,-0.0002918
1.25,1.2,1.3,0.13247,0.00061621,-0.00061621,0.0094595,-0.0094595,0.000241,-0.000241
1.35,1.3,1.4,0.16379,0.00082572,-0.00082572,0.017628,-0.017628,0.00019808,-0.00019808
1.45,1.4,1.5,0.1931,0.0010472,-0.0010472,0.003209,-0.003209,0.00022816,-0.00022816
1.55,1.5,1.6,0.22618,0.0012585,-0.0012585,0.0052999,-0.0052999,0.00033288,-0.00033288
1.65,1.6,1.7,0.26101,0.0015335,-0.0015335,0.0058641,-0.0058641,0.00045337,-0.00045337
1.75,1.7,1.8,0.30242,0.0018675,-0.0018675,0.007025,-0.007025,0.0005704,-0.0005704
1.85,1.8,1.9,0.33464,0.0021674,-0.0021674,0.0080401,-0.0080401,0.00065006,-0.00065006
1.95,1.9,2.0,0.36874,0.0024688,-0.0024688,0.010314,-0.010314,0.00070611,-0.00070611
2.1,2.0,2.2,0.4242,0.0021708,-0.0021708,0.01378,-0.01378,0.0007295,-0.0007295
2.3,2.2,2.4,0.47261,0.0025215,-0.0025215,0.019096,-0.019096,0.00073416,-0.00073416
2.5,2.4,2.6,0.51838,0.0028561,-0.0028561,0.026858,-0.026858,0.0012528,-0.0012528
2.7,2.6,2.8,0.54944,0.0032364,-0.0032364,0.030139,-0.030139,0.001219,-0.001219
2.9,2.8,3.0,0.57955,0.0037566,-0.0037566,0.033017,-0.033017,0,0
3.1,3.0,3.2,0.62533,0.0047407,-0.0047407,0.033655,-0.033655,0.0028373,-0.0028373
3.3,3.2,3.4,0.63473,0.0055147,-0.0055147,0.038151,-0.038151,0.0029975,-0.0029975
3.5,3.4,3.6,0.64618,0.0057694,-0.0057694,0.041701,-0.041701,0,0
3.7,3.6,3.8,0.67063,0.0068129,-0.0068129,0.042163,-0.042163,0,0
3.9,3.8,4.0,0.65573,0.0073773,-0.0073773,0.038744,-0.038744,0,0
4.25,4.0,4.5,0.64985,0.0054022,-0.0054022,0.03958,-0.03958,0.0056318,-0.0056318
4.75,4.5,5.0,0.54791,0.0056453,-0.0056453,0.031113,-0.031113,0.0028853,-0.0028853
5.25,5.0,5.5,0.44021,0.0055717,-0.0055717,0.024755,-0.024755,0.0019467,-0.0019467
5.75,5.5,6.0,0.34932,0.0054096,-0.0054096,0.020351,-0.020351,0.0014304,-0.0014304
6.25,6.0,6.5,0.28629,0.0022731,-0.0022731,0.029974,-0.029974,0.0009585,-0.0009585
6.75,6.5,7.0,0.23255,0.0021968,-0.0021968,0.024346,-0.024346,0.00068241,-0.00068241
7.5,7.0,8.0,0.18473,0.0019181,-0.0019181,0.01934,-0.01934,0.00057184,-0.00057184
8.5,8.0,9.0,0.13727,0.0020289,-0.0020289,0.014371,-0.014371,0.00034158,-0.00034158
9.5,9.0,10.0,0.11711,0.0023148,-0.0023148,0.012261,-0.012261,0.00057981,-0.00057981
10.5,10.0,11.0,0.098529,0.0026349,-0.0026349,0.010315,-0.010315,0.00032045,-0.00032045
11.5,11.0,12.0,0.090268,0.0030993,-0.0030993,0.0094505,-0.0094505,0.00056138,-0.00056138
12.5,12.0,13.0,0.087519,0.0035678,-0.0035678,0.0091627,-0.0091627,0.00059877,-0.00059877
13.5,13.0,14.0,0.075916,0.004077,-0.004077,0.0079479,-0.0079479,0.00062486,-0.00062486
14.5,14.0,15.0,0.070071,0.0043892,-0.0043892,0.007336,-0.007336,0.00083362,-0.00083362
15.5,15.0,16.0,0.067391,0.0049362,-0.0049362,0.0070555,-0.0070555,0.00076664,-0.00076664
17.0,16.0,18.0,0.068088,0.0052373,-0.0052373,0.0071284,-0.0071284,0.00063788,-0.00063788
19.0,18.0,20.0,0.065174,0.0069318,-0.0069318,0.0068234,-0.0068234,0.0013695,-0.0013695

#: CENTRALITY [pct],,,20.0-30.0
#: RE(P + PBAR),,,PB PB --> P X, PB PB --> PBAR X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.32499999999999996,0.3,0.35,0.0097733,0.00020081,-0.00020081,0.00096788,-0.00096788,0.00030762,-0.00030762
0.375,0.35,0.4,0.012225,0.00020003,-0.00020003,0.0011066,-0.0011066,0.00037532,-0.00037532
0.42500000000000004,0.4,0.45,0.015932,0.00022601,-0.00022601,0.0012994,-0.0012994,0.00048999,-0.00048999
0.475,0.45,0.5,0.018268,5.3542e-05,-5.3542e-05,0.00076476,-0.00076476,0.00076476,-0.00076476
0.525,0.5,0.55,0.022014,6.2361e-05,-6.2361e-05,0.00098574,-0.00098574,0.00098574,-0.00098574
0.575,0.55,0.6,0.026094,7.32e-05,-7.32e-05,0.0012077,-0.0012077,0.0012077,-0.0012077
0.625,0.6,0.65,0.030283,8.5867e-05,-8.5867e-05,0.002873,-0.002873,0.002873,-0.002873
0.675,0.65,0.7,0.036356,0.00010615,-0.00010615,0.009014,-0.009014,0.009014,-0.009014
0.725,0.7,0.75,0.040636,0.00013096,-0.00013096,0.0041735,-0.0041735,0.00097625,-0.00097625
0.775,0.75,0.8,0.047041,0.00016181,-0.00016181,0.0069471,-0.0069471,0.0012308,-0.0012308
0.825,0.8,0.85,0.051897,0.00029185,-0.00029185,0.0022923,-0.0022923,0.0022923,-0.0022923
0.875,0.85,0.9,0.059965,0.0003453,-0.0003453,0.001244,-0.001244,0.00052366,-0.00052366
0.925,0.9,0.95,0.06937,0.00041389,-0.00041389,0.00093557,-0.00093557,0.00069606,-0.00069606
0.975,0.95,1.0,0.080194,0.00050424,-0.00050424,0.0014608,-0.0014608,0.0008935,-0.0008935
1.05,1.0,1.1,0.093129,0.00043776,-0.00043776,0.0020106,-0.0020106,0.0011759,-0.0011759
1.15,1.1,1.2,0.12158,0.0006204,-0.0006204,0.0036299,-0.0036299,0.0017296,-0.0017296
1.25,1.2,1.3,0.14312,0.00080283,-0.00080283,0.01022,-0.01022,0.0021597,-0.0021597
1.35,1.3,1.4,0.17302,0.001056,-0.001056,0.018622,-0.018622,0.0027568,-0.0027568
1.45,1.4,1.5,0.2008,0.0013111,-0.0013111,0.0033371,-0.0033371,0.0034368,-0.0034368
1.55,1.5,1.6,0.23398,0.0015659,-0.0015659,0.0054591,-0.0054591,0.0019463,-0.0019463
1.65,1.6,1.7,0.26912,0.0019157,-0.0019157,0.0060212,-0.0060212,0.0022466,-0.0022466
1.75,1.7,1.8,0.30362,0.002268,-0.002268,0.0070208,-0.0070208,0.0025468,-0.0025468
1.85,1.8,1.9,0.3348,0.002633,-0.002633,0.0080006,-0.0080006,0.0028169,-0.0028169
1.95,1.9,2.0,0.36713,0.0029793,-0.0029793,0.010186,-0.010186,0.0030087,-0.0030087
2.1,2.0,2.2,0.41277,0.0025689,-0.0025689,0.013321,-0.013321,0.0030778,-0.0030778
2.3,2.2,2.4,0.46093,0.0029471,-0.0029471,0.018249,-0.018249,0.0021041,-0.0021041
2.5,2.4,2.6,0.509,0.0033426,-0.0033426,0.025375,-0.025375,0.0011883,-0.0011883
2.7,2.6,2.8,0.54327,0.0039012,-0.0039012,0.029734,-0.029734,0,0
2.9,2.8,3.0,0.56423,0.0044189,-0.0044189,0.032501,-0.032501,0,0
3.1,3.0,3.2,0.57935,0.0053334,-0.0053334,0.032532,-0.032532,0.0024844,-0.0024844
3.3,3.2,3.4,0.59006,0.00622,-0.00622,0.035168,-0.035168,0,0
3.5,3.4,3.6,0.62769,0.0067235,-0.0067235,0.040992,-0.040992,0,0
3.7,3.6,3.8,0.62091,0.0075796,-0.0075796,0.040396,-0.040396,0,0
3.9,3.8,4.0,0.60558,0.008309,-0.008309,0.037914,-0.037914,0,0
4.25,4.0,4.5,0.55851,0.0057482,-0.0057482,0.037827,-0.037827,0.0080519,-0.0080519
4.75,4.5,5.0,0.46864,0.0059963,-0.0059963,0.03126,-0.03126,0.0047815,-0.0047815
5.25,5.0,5.5,0.37638,0.0058815,-0.0058815,0.022997,-0.022997,0.0033729,-0.0033729
5.75,5.5,6.0,0.30859,0.005877,-0.005877,0.019694,-0.019694,0.0024978,-0.0024978
6.25,6.0,6.5,0.25166,0.0032946,-0.0032946,0.026465,-0.026465,0.0019487,-0.0019487
6.75,6.5,7.0,0.20427,0.0029395,-0.0029395,0.021482,-0.021482,0.0016921,-0.0016921
7.5,7.0,8.0,0.16313,0.002491,-0.002491,0.017155,-0.017155,0.0013568,-0.0013568
8.5,8.0,9.0,0.12662,0.0024571,-0.0024571,0.013316,-0.013316,0.00088891,-0.00088891
9.5,9.0,10.0,0.10475,0.0026343,-0.0026343,0.011016,-0.011016,0.00066319,-0.00066319
10.5,10.0,11.0,0.089243,0.002916,-0.002916,0.0093849,-0.0093849,0.00063076,-0.00063076
11.5,11.0,12.0,0.07675,0.0033442,-0.0033442,0.0080711,-0.0080711,0.00041305,-0.00041305
12.5,12.0,13.0,0.065976,0.0037183,-0.0037183,0.0069381,-0.0069381,0.00035941,-0.00035941
13.5,13.0,14.0,0.068381,0.0044585,-0.0044585,0.007191,-0.007191,0.00053892,-0.00053892
14.5,14.0,15.0,0.066005,0.0048185,-0.0048185,0.0069411,-0.0069411,0.00065501,-0.00065501
15.5,15.0,16.0,0.062388,0.0052827,-0.0052827,0.0065608,-0.0065608,0.00063287,-0.00063287
17.0,16.0,18.0,0.070365,0.0059188,-0.0059188,0.0073996,-0.0073996,0.00027534,-0.00027534
19.0,18.0,20.0,0.051042,0.0069891,-0.0069891,0.0053676,-0.0053676,0.0011667,-0.0011667

#: CENTRALITY [pct],,,30.0-40.0
#: RE(P + PBAR),,,PB PB --> P X, PB PB --> PBAR X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.32499999999999996,0.3,0.35,0.011741,0.00028293,-0.00028293,0.0011364,-0.0011364,0.00037011,-0.00037011
0.375,0.35,0.4,0.014695,0.00029093,-0.00029093,0.0012946,-0.0012946,0.00045272,-0.00045272
0.42500000000000004,0.4,0.45,0.018082,0.00030303,-0.00030303,0.0014267,-0.0014267,0.00055873,-0.00055873
0.475,0.45,0.5,0.020795,7.4611e-05,-7.4611e-05,0.00056258,-0.00056258,0.00056258,-0.00056258
0.525,0.5,0.55,0.025045,8.7174e-05,-8.7174e-05,0.00084059,-0.00084059,0.00084059,-0.00084059
0.575,0.55,0.6,0.029602,0.00010205,-0.00010205,0.0011083,-0.0011083,0.0011083,-0.0011083
0.625,0.6,0.65,0.034206,0.00011914,-0.00011914,0.0027783,-0.0027783,0.0027783,-0.0027783
0.675,0.65,0.7,0.04137,0.00014868,-0.00014868,0.010549,-0.010549,0.010549,-0.010549
0.725,0.7,0.75,0.044981,0.00017787,-0.00017787,0.0047136,-0.0047136,0.0013295,-0.0013295
0.775,0.75,0.8,0.054242,0.00036286,-0.00036286,0.0074286,-0.0074286,0.0019898,-0.0019898
0.825,0.8,0.85,0.058178,0.00039311,-0.00039311,0.0025698,-0.0025698,0.0025698,-0.0025698
0.875,0.85,0.9,0.068022,0.00047282,-0.00047282,0.0014111,-0.0014111,0.0004757,-0.0004757
0.925,0.9,0.95,0.078952,0.00057375,-0.00057375,0.0010648,-0.0010648,0.00052373,-0.00052373
0.975,0.95,1.0,0.088144,0.00066656,-0.00066656,0.0016057,-0.0016057,0.00051959,-0.00051959
1.05,1.0,1.1,0.10189,0.00057856,-0.00057856,0.0021997,-0.0021997,0.00056756,-0.00056756
1.15,1.1,1.2,0.13463,0.00084437,-0.00084437,0.0040194,-0.0040194,0.00074995,-0.00074995
