#: table_doi: 10.17182/hepdata.104923.v1/t7
#: name: Table 7
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$)/pions ($\pi^{+}+\pi^{-}$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_7.yaml
#: keyword reactions: PB PB --> K+ X | PB PB --> K- X | PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: RATIO
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: CENTRALITY [pct],,,0.0-5.0
#: RE(K+ + K-),,,PB PB --> K+ X, PB PB --> K- X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(K^{+}+K^{-})/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.225,0.2,0.25,0.062926,0.00048678,-0.00048678,0.0046449,-0.0046449,0.0017323,-0.0017323
0.275,0.25,0.3,0.074881,0.00040071,-0.00040071,0.0046873,-0.0046873,0.0019897,-0.0019897
0.32499999999999996,0.3,0.35,0.078272,0.00011603,-0.00011603,0.0038203,-0.0038203,0.0038203,-0.0038203
0.375,0.35,0.4,0.087932,0.0001184,-0.0001184,0.023656,-0.023656,0.023656,-0.023656
0.42500000000000004,0.4,0.45,0.099081,0.00013034,-0.00013034,0.033024,-0.033024,0.033024,-0.033024
0.475,0.45,0.5,0.13142,0.00076886,-0.00076886,0.0051327,-0.0051327,0.0018617,-0.0018617
0.525,0.5,0.55,0.15428,0.001056,-0.001056,0.00711,-0.00711,0.0023569,-0.0023569
0.575,0.55,0.6,0.17246,0.0012338,-0.0012338,0.0087804,-0.0087804,0.0026372,-0.0026372
0.625,0.6,0.65,0.18961,0.0014479,-0.0014479,0.011142,-0.011142,0.0030357,-0.0030357
0.675,0.65,0.7,0.19374,0.00069275,-0.00069275,0.0047691,-0.0047691,0.0015234,-0.0015234
0.725,0.7,0.75,0.20943,0.000771,-0.000771,0.0054109,-0.0054109,0.0017314,-0.0017314
0.775,0.75,0.8,0.22888,0.00087552,-0.00087552,0.0072505,-0.0072505,0.0019214,-0.0019214
0.825,0.8,0.85,0.24886,0.00098339,-0.00098339,0.0080427,-0.0080427,0.0022081,-0.0022081
0.875,0.85,0.9,0.26851,0.0011155,-0.0011155,0.0029335,-0.0029335,0.0027068,-0.0027068
0.925,0.9,0.95,0.28143,0.0012265,-0.0012265,0.004919,-0.004919,0.0032968,-0.0032968
0.975,0.95,1.0,0.29597,0.0013449,-0.0013449,0.004511,-0.004511,0.0038085,-0.0038085
1.05,1.0,1.1,0.31431,0.0010685,-0.0010685,0.0057056,-0.0057056,0.0041376,-0.0041376
1.15,1.1,1.2,0.35274,0.0013031,-0.0013031,0.0080149,-0.0080149,0.0046563,-0.0046563
1.25,1.2,1.3,0.36138,0.0030419,-0.0030419,0.030839,-0.030839,0.0047971,-0.0047971
1.35,1.3,1.4,0.38478,0.0016752,-0.0016752,0.044117,-0.044117,0.0051219,-0.0051219
1.45,1.4,1.5,0.40797,0.0019231,-0.0019231,0.0064436,-0.0064436,0.0054306,-0.0054306
1.55,1.5,1.6,0.43239,0.0021478,-0.0021478,0.0087073,-0.0087073,0.0054278,-0.0054278
1.65,1.6,1.7,0.45892,0.0023804,-0.0023804,0.014103,-0.014103,0.0063285,-0.0063285
1.75,1.7,1.8,0.47158,0.0024565,-0.0024565,0.021902,-0.021902,0.0076016,-0.0076016
1.85,1.8,1.9,0.48934,0.0026111,-0.0026111,0.025611,-0.025611,0.0084267,-0.0084267
1.95,1.9,2.0,0.50659,0.0026564,-0.0026564,0.031961,-0.031961,0.0087323,-0.0087323
2.1,2.0,2.2,0.50952,0.0020501,-0.0020501,0.037505,-0.037505,0.0087971,-0.0087971
2.3,2.2,2.4,0.51815,0.0022548,-0.0022548,0.041735,-0.041735,0.0090927,-0.0090927
2.5,2.4,2.6,0.53112,0.0026837,-0.0026837,0.041586,-0.041586,0.010152,-0.010152
2.7,2.6,2.8,0.54383,0.0033044,-0.0033044,0.041123,-0.041123,0.009325,-0.009325
2.9,2.8,3.0,0.54764,0.0040388,-0.0040388,0.040917,-0.040917,0.0062425,-0.0062425
3.1,3.0,3.2,0.5478,0.0047019,-0.0047019,0.03798,-0.03798,0.005134,-0.005134
3.3,3.2,3.4,0.54875,0.0056295,-0.0056295,0.040494,-0.040494,0.0026729,-0.0026729
3.5,3.4,3.6,0.54951,0.006141,-0.006141,0.044639,-0.044639,0.0026699,-0.0026699
3.7,3.6,3.8,0.54772,0.0064507,-0.0064507,0.047744,-0.047744,0.0026519,-0.0026519
3.9,3.8,4.0,0.53676,0.0065368,-0.0065368,0.048887,-0.048887,0.0025895,-0.0025895
4.25,4.0,4.5,0.52218,0.0038052,-0.0038052,0.057544,-0.057544,0.011312,-0.011312
4.75,4.5,5.0,0.49067,0.0044689,-0.0044689,0.047776,-0.047776,0.0079407,-0.0079407
5.25,5.0,5.5,0.47578,0.0053079,-0.0053079,0.042026,-0.042026,0.0048502,-0.0048502
5.75,5.5,6.0,0.48044,0.0064686,-0.0064686,0.03874,-0.03874,0.0032771,-0.0032771
6.25,6.0,6.5,0.47718,0.0039057,-0.0039057,0.038174,-0.038174,0.0030237,-0.0030237
6.75,6.5,7.0,0.47859,0.0044921,-0.0044921,0.038287,-0.038287,0.0027273,-0.0027273
7.5,7.0,8.0,0.49006,0.0045467,-0.0045467,0.039205,-0.039205,0.0033111,-0.0033111
8.5,8.0,9.0,0.50078,0.0057028,-0.0057028,0.040062,-0.040062,0.0038648,-0.0038648
9.5,9.0,10.0,0.51072,0.0070626,-0.0070626,0.040858,-0.040858,0.0028183,-0.0028183
10.5,10.0,11.0,0.51684,0.0086088,-0.0086088,0.041347,-0.041347,0.0033576,-0.0033576
11.5,11.0,12.0,0.51724,0.0103,-0.0103,0.04138,-0.04138,0.0039274,-0.0039274
12.5,12.0,13.0,0.51582,0.012261,-0.012261,0.041266,-0.041266,0.0032739,-0.0032739
13.5,13.0,14.0,0.50887,0.014306,-0.014306,0.040709,-0.040709,0.0030418,-0.0030418
14.5,14.0,15.0,0.52064,0.016292,-0.016292,0.041651,-0.041651,0.0041692,-0.0041692
15.5,15.0,16.0,0.5277,0.018447,-0.018447,0.042216,-0.042216,0.0047192,-0.0047192
17.0,16.0,18.0,0.52845,0.018676,-0.018676,0.042276,-0.042276,0.0050533,-0.0050533
19.0,18.0,20.0,0.5282,0.02403,-0.02403,0.042256,-0.042256,0.0027843,-0.0027843

#: CENTRALITY [pct],,,5.0-10.0
#: RE(K+ + K-),,,PB PB --> K+ X, PB PB --> K- X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(K^{+}+K^{-})/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.225,0.2,0.25,0.063081,0.00058386,-0.00058386,0.0048634,-0.0048634,0.0017363,-0.0017363
0.275,0.25,0.3,0.076615,0.00046244,-0.00046244,0.0049692,-0.0049692,0.0020313,-0.0020313
0.32499999999999996,0.3,0.35,0.07986,0.00018497,-0.00018497,0.0032249,-0.0032249,0.0032249,-0.0032249
0.375,0.35,0.4,0.089239,0.00018708,-0.00018708,0.022549,-0.022549,0.022549,-0.022549
0.42500000000000004,0.4,0.45,0.09536,0.00019435,-0.00019435,0.030911,-0.030911,0.030911,-0.030911
0.475,0.45,0.5,0.12913,0.0015821,-0.0015821,0.004829,-0.004829,0.0013791,-0.0013791
0.525,0.5,0.55,0.15047,0.0024201,-0.0024201,0.0066542,-0.0066542,0.0019026,-0.0019026
0.575,0.55,0.6,0.16604,0.0027843,-0.0027843,0.0083598,-0.0083598,0.0023004,-0.0023004
0.625,0.6,0.65,0.18628,0.0033514,-0.0033514,0.0108,-0.0108,0.0027487,-0.0027487
0.675,0.65,0.7,0.19689,0.00095742,-0.00095742,0.0048466,-0.0048466,0.00067704,-0.00067704
0.725,0.7,0.75,0.21087,0.0010558,-0.0010558,0.0054482,-0.0054482,0.00099197,-0.00099197
